,dom_books,for_books,local_mat,nonbook_mat,elec_mat,serials,ann_growth,ann_weeding,lib_site_area,lib_build_area,total_seats,user_comps,self_srv_machines,full_time,part_time,support_staff,total_budget,acq_budget,open_days,avg_week_hours,reg_members,lib_visitors,service_recip,borrowers,loans,interlib_loans,info_serv_requests,web_access,user_ed_sessions,user_ed_partic,prog_sessions,prog_partic,disab_mat,vuln_group_budget,total_settlement,acq_budget_settlement,future_acq_budget_settlement
0,50073,0,0,1806,3569,48,8081,0,21364,7234,767,12,4,18,0,0,467710,20000,299,45,2534,26484,74791,31667,15369,13,12,101279,0,0,5,2517,188,0,655855,14855,10000.0
1,61777,56,0,1304,68,31,1529,0,1931,7301,137,18,1,36,0,0,2016852,19800,222,30,125,2901,144683,198,2688,0,0,39293,0,0,0,0,0,0,2145822,19509,19508.0
2,32218,452,0,0,3853,60,3308,48,806,806,100,5,3,49,0,9,262729,25530,299,52,628,25448,658338,480465,79498,13845,0,1377343,0,0,33,1524,137,0,189759,31958,25529.0
3,51248,1430,28,9949,14151,120,5084,186,7160,2103,136,8,3,14,9,153,1034675,84950,299,70,6237,131992,483245,19204,143664,21350,9000,2644441,8,627,43,2702,412,0,857940,69789,56600.0
4,154133,3161,0,1809,3790,74,9343,200,12857,4392,640,23,4,18,0,65,1009585,108839,299,60,10284,73129,222953,3038,231229,807,13114,29090,2,55,41,10797,828,22658,951428,116864,110902.0
5,82859,29083,42,4112,0,24,4329,7993,5359,2923,263,22,1,4,4,9,0,0,224,78,23488,86654,222222,29290,159380,1085,3910,8390,0,0,111,4779,161,20,733952,60939,90425.71500419111
6,70544,4751,16,1416,5637,50,8756,1919,486,966,169,4,0,16,5,11,724897,149529,274,72,24783,162871,122499,892,52559,4877,0,462288,3,8,38,1253,634,0,645347,146383,110199.0
7,26963,0,9,55,16911,19,2867,12,1094,1908,200,3,3,8,3,15,413232,38230,249,57,3403,58119,463661,10881,39854,17664,3942,883091,5,151,35,931,230,5394,367810,30000,31819.0
8,69123,9679,44,1829,0,40,2533,2689,3693,1470,97,8,2,7,4,3,675933,45694,355,102,5871,40944,62264,1178,28283,547,8240,214614,0,0,34,3390,57,27170,614818,59994,50670.0
9,79598,0,83,2026,0,41,1739,0,2692,1485,150,7,2,2,8,3,575675,30794,357,81,9651,36432,62264,3749,26239,447,0,214614,0,0,39,2681,274,0,495781,40319,39385.0
10,74544,2067,101,1594,0,47,2787,0,4503,2485,207,10,2,34,7,2,567870,30794,357,81,366,50092,62264,1721,37635,731,1130,214614,0,0,33,2389,333,0,515077,40115,48807.0
11,153515,3300,345,5518,7207,44,7730,0,7485,3602,319,16,4,15,10,1,723440,66394,357,12,799,77561,62264,77561,61668,763,2470,214614,20,120,33,4154,446,0,553801,84400,66394.0
12,195058,13706,51,7469,926,55,7788,41,1488,2706,495,26,3,15,1,14,1297914,140284,300,70,9485,60954,473365,6477,169906,801,32400,34950,6,56,46,10405,725,4650,1455132,109894,122230.0
13,45673,2804,0,0,0,23,4082,2848,1975,2678,95,4,2,16,2,0,461400,64480,310,60,907,120875,447302,49584,28055,3238,4,66198,0,0,40,29370,247,0,256380,30806,48262.0
14,38628,279,120,5778,19652,60,7421,0,1613,1012,288,4,2,13,4,8,273447,20540,281,78,4465,35442,91107,1009,14735,278,0,13000,10,228,17,1331,1108,8658,201094,13518,14990.0
15,59005,0,58985,21,0,21,9234,4135,1993,2751,240,26,2,2,0,0,153500,23500,298,52,572,7715,251889,4860,15029,0,0,0,0,0,0,0,300,0,155000,20000,22000.0
16,33193,4996,26,41,25580,28,5910,5358,1245,368,110,3,2,2,2,5,396683,37218,296,52,10240,64545,533042,1053,82726,31430,1872,164406,0,0,49,9650,194,11000,373496,45895,43492.0
17,52346,6179,118,1048,25582,118,11192,65,4480,1057,161,13,3,16,9,18,783685,97740,282,56,10697,124028,533042,17319,220419,51286,49846,168807,0,0,174,57654,417,10940,932034,128130,118051.0
18,30480,2232,27,0,25585,16,6639,4592,452,436,78,2,1,12,7,55,1034817,54197,286,55,25049,125926,533042,22642,204984,74837,2616,68078,0,0,105,11025,131,8974,746623,54660,55301.0
19,87829,1782,127,0,56426,65,2630,2021,1626,1140,114,9,3,5,7,735,611829,49438,301,54,1923,27030,848482,22645,107031,16485,17544,97905,0,0,70,4405,2605,1860,543013,44009,48322.0
20,84285,8415,35,0,8089,34,8765,9718,1252,1207,234,10,5,18,2,960,567755,58728,281,52,37911,303376,462664,9376,220350,16690,26104,355975,0,0,30,6321,1229,9309,546582,110985,97245.0
21,23939,333,0,0,8089,13,8726,1837,1048,1592,205,23,0,14,0,2,478921,62200,281,52,2374,71950,462664,7303,115367,9035,25064,355975,4,51,25,1048,148,0,422587,120239,101193.0
22,71790,6451,43,0,8089,64,5779,5958,403,1415,208,18,3,16,2,103,545336,61728,284,52,41399,338584,462664,9085,161975,8872,17040,355975,1,25,46,34343,685,5060,523635,75641,72991.0
23,84919,9457,119,210,4574,47,8120,5355,642,1759,362,30,3,17,5,3,555257,28176,284,55,31853,541158,462664,10327,205592,8804,37554,2135848,2,111,34,6435,1167,6800,520098,66426,86490.0
24,46316,419,2,0,8089,37,7225,3329,2538,929,138,16,8,16,13,1065,446747,58629,281,52,4800,224401,462664,7145,143810,6763,18672,2135848,124,124,32,11845,791,2897,437406,99312,57130.0
25,86670,5176,0,231,11534,19,945,0,5600,343,100,1,0,4,1,2,666028,59076,308,53,0,32635,317366,6029,142530,8282,23552,355974,0,0,34,1377,77,0,740346,96848,93911.0
26,187875,5391,94,6044,26885,269,8672,7789,8678,4944,324,40,4,44,0,423,2427082,119105,297,48,18198,219770,212965,31211,113738,36,20000,67055,23,418,185,36587,1153,38395,3204609,103925,103925.0
27,80029,0,0,4041,4585,42,11658,67430,4067,2583,473,35,2,8,14,0,1091670,119800,193,70,52526,94013,212965,12712,37372,12835,0,279537,0,0,0,0,0,0,535369,111000,93000.0
28,203242,8581,508,9037,4871,79,17323,19694,8002,5574,470,27,4,44,21,18,2599491,122564,319,57,28726,81618,299182,12346,232600,72366,23656,133766,0,0,368,22615,3961,17605,2292163,214039,224188.0
29,44083,1357,0,153,4871,29,2105,2244,692,1777,164,10,1,12,2,3,415562,16340,258,56,7476,42178,299182,3812,24960,11814,0,15996,0,0,55,1599,462,3886,431861,31130,32634.0
30,55404,2621,3,1729,14811,57,7451,63,9679,1747,436,17,3,5,2,38,891635,81521,298,90,33836,156810,574315,4992,114054,20410,89820,2482331,22,22,69,143106,1632,23400,807266,71087,82155.0
31,77822,4566,45,3658,14811,74,7325,1815,948,2282,324,13,3,22,15,15,1061933,62196,301,69,41872,161638,574315,7989,100605,23748,0,2482331,3,3,84,140154,1275,3334,1006995,73331,73799.0
32,55771,5487,10,1596,14811,167,4767,764,436,708,88,7,1,12,5,478,628164,71809,282,74,17370,123227,574315,8967,97595,18588,18720,2482331,7,95,93,7931,879,27727,553570,70860,68683.0
33,50391,736,0,67,56426,46,5320,9,30145,2279,469,12,2,14,15,50,939402,83825,278,48,14801,22777,848482,12359,123967,20515,59424,2482331,4,19,84,8653,135,0,857266,78053,80546.0
34,52254,4039,0,583,14811,32,6888,874,1653,602,194,2,1,8,3,74,490278,69351,295,74,21712,90113,574315,9646,139412,25354,5228,2482331,0,0,60,6976,411,3600,458042,61600,63000.0
35,48828,3582,0,0,0,59,9120,7,2438,1289,247,5,5,12,5,548,685623,74800,265,52,9676,187214,142918,11114,337985,217,10450,5350564,2,34,56,219642,0,0,705116,111500,111500.0
36,61316,7411,0,1315,15168,28,2523,1686,333,333,72,12,1,12,4,115,568494,57951,298,73,21126,130382,574315,6220,179982,21740,312,2482331,4,85,97,25306,1501,97220,586746,65850,52000.0
37,58092,6184,0,1357,15026,32,6727,2097,1100,855,244,5,2,12,5,21,772301,61084,294,74,28973,104774,574315,8872,164733,23544,5978,2482331,0,0,77,15055,832,29030,713400,62671,51994.0
38,5068,31494,0,2877,14811,44,3503,4,623,541,38,7,1,10,4,74,518604,58444,298,74,7167,55743,574315,3833,95518,7748,100336,2348331,36,120,574,5319,772,1569,500730,53300,51000.0
